scenario,controller,step,ax,ay,acceleration_magnitude
scenario_2,PID,1,-1.0,-1.0,1.4142135623730951
scenario_2,PID,2,-1.0,-1.0,1.4142135623730951
scenario_2,PID,3,-1.0,-0.7356132816669878,1.2414213225834634
scenario_2,PID,4,-1.0,-0.500721708366562,1.1183569328392113
scenario_2,PID,5,-1.0,-0.29778562994681224,1.043396512071427
scenario_2,PID,6,-1.0,-0.12664969000057325,1.0079881665859185
scenario_2,PID,7,-0.9624742356296077,0.013752021811510473,0.9625724764165562
scenario_2,PID,8,-0.3946723832291912,0.12527544726189976,0.4140775625054786
scenario_2,PID,9,-1.0,1.0,1.4142135623730951
scenario_2,PID,10,-1.0,0.3065724262525967,1.0459381686019513
scenario_2,PID,11,-0.8162264430015886,0.31398094101427554,0.8745339545010449
scenario_2,PID,12,-0.15079197400918076,0.31004656312916484,0.34477107003603513
scenario_2,PID,13,0.3359160412020987,0.297234167818517,0.44853956041318854
scenario_2,PID,14,-1.0,-1.0,1.4142135623730951
scenario_2,PID,15,-0.6370678426222147,0.015085151582559297,0.63724641850825
scenario_2,PID,16,0.04107091164676868,0.08364752607220322,0.09318652478495267
scenario_2,PID,17,0.5287226625893355,0.13569864911226226,0.5458587521570477
scenario_2,PID,18,-1.0,-1.0,1.4142135623730951
scenario_2,PID,19,0.13959401396469673,-0.7017150225226294,0.7154652063998013
scenario_2,PID,20,0.6141396712465936,-0.44126473568333446,0.7562288692959012
scenario_2,PID,21,0.9301664038153556,-0.21980822135075395,0.9557851186120097
scenario_2,PID,22,-1.0,-1.0,1.4142135623730951
scenario_2,PID,23,-0.04643391322911272,-0.4216162764521989,0.4241655253166926
scenario_2,PID,24,0.4585108646616294,-0.15265987055859598,0.4832569183071488
scenario_2,PID,25,0.8031680811357456,0.06654109366935756,0.8059197749788684
scenario_2,PID,26,-1.0,-1.0,1.4142135623730951
scenario_2,PID,27,-0.09216764659362342,-0.18241526902572391,0.20437760506556069
scenario_2,PID,28,0.4182655339840813,0.07790443160486182,0.42545876108345126
scenario_2,PID,29,0.7686174948886286,0.28302348106662434,0.8190696821906797
scenario_2,PID,30,0.3408222904395761,-1.0,1.0564846585069179
scenario_2,PID,31,1.0,-0.746359041946163,1.247818824787795
scenario_2,PID,32,1.0,-0.32804370760348545,1.0524317907105625
scenario_2,PID,33,1.0,0.015751769332575716,1.0001240514241754
scenario_2,PID,34,-1.0,-1.0,1.4142135623730951
scenario_2,PID,35,1.0,-0.8091902273266838,1.2863859545257053
scenario_2,PID,36,1.0,-0.3114233011828027,1.0473702652451018
scenario_2,PID,37,1.0,0.09519294775694576,1.0045206306008139
scenario_2,PID,38,-1.0,-1.0,1.4142135623730951
scenario_2,PID,39,-0.05795298820829031,0.6583849031597129,0.6609305784656166
scenario_2,PID,40,-1.0,-1.0,1.4142135623730951
scenario_2,PID,41,-0.7272217476669425,0.2840757182819056,0.7807371414228625
scenario_2,PID,42,-0.20107214040588772,0.6003639533652136,0.6331404916349241
scenario_2,PID,43,0.18728013504516983,0.8337951261087388,0.8545689915420667
scenario_2,PID,44,-1.0,-1.0,1.4142135623730951
scenario_2,PID,45,-0.44308695988071234,0.41210918152219933,0.6051115859998295
scenario_2,PID,46,0.06674763306570064,0.6762430797152525,0.6795292115741919
scenario_2,PID,47,1.0,-1.0,1.4142135623730951
scenario_2,PID,48,1.0,-0.09139890502390635,1.0041681930033282
scenario_2,PID,49,1.0,0.28808471856370765,1.0406694023896017
scenario_2,PID,50,-0.8383278011262583,-1.0,1.304911300487963
scenario_2,PID,51,1.0,-0.44876127605153204,1.0960778635130806
scenario_2,PID,52,1.0,0.03980925649784828,1.0007920747602428
scenario_2,PID,53,1.0,0.4281216112899666,1.0877904734154997
scenario_2,PID,54,1.0,-1.0,1.4142135623730951
scenario_2,PID,55,1.0,0.23033012033572087,1.0261832021300425
scenario_2,PID,56,1.0,0.5909115074363833,1.1615405329220065
scenario_2,PID,57,1.0,0.8599462693997166,1.3189039336716264
scenario_2,PID,58,1.0,1.0,1.4142135623730951
scenario_2,PID,59,1.0,1.0,1.4142135623730951
scenario_2,PID,60,1.0,1.0,1.4142135623730951
scenario_2,PID,61,-1.0,-1.0,1.4142135623730951
scenario_2,PID,62,-1.0,-0.8612549205507198,1.3197575679543674
scenario_2,PID,63,-1.0,-0.35979338858310284,1.0627564549171704
scenario_2,PID,64,-0.8812325633285514,0.05126083003765203,0.8827222118915771
scenario_2,PID,65,1.0,-1.0,1.4142135623730951
scenario_2,PID,66,1.0,-0.2030151797015316,1.0203995115587057
scenario_2,PID,67,1.0,0.21249999786543983,1.0223288360859297
scenario_2,PID,68,0.9189813594247973,0.5371466737692034,1.0644497583782748
scenario_2,PID,69,1.0,-1.0,1.4142135623730951
scenario_2,PID,70,1.0,0.6014963058759522,1.1669609273589312
scenario_2,PID,71,1.0,0.8430671038911228,1.3079610627474219
scenario_2,PID,72,0.9358301742444952,1.0,1.3695904917260788
scenario_2,PID,73,0.3640648330505396,1.0,1.0642101308783511
scenario_2,PID,74,-0.06423694422434822,1.0,1.0020610684999602
scenario_2,PID,75,1.0,-1.0,1.4142135623730951
scenario_2,PID,76,0.5763315708404817,0.5951393191743524,0.8284617605989844
scenario_2,PID,77,0.023785450909846517,0.7306362233816037,0.7310232818401323
scenario_2,PID,78,-0.3759955094138556,0.8158165291734806,0.8982923980375483
scenario_2,PID,79,1.0,-1.0,1.4142135623730951
scenario_2,PID,80,0.7697078694229256,0.9012753389934008,1.1852204187109034
