scenario,controller,step,ax,ay,acceleration_magnitude
scenario_2,SAC,1,-0.9639739990234375,0.45642852783203125,1.0665706396102905
scenario_2,SAC,2,-0.9640693664550781,0.016021728515625,0.9642025232315063
scenario_2,SAC,3,-0.9639739990234375,-0.05340576171875,0.965452253818512
scenario_2,SAC,4,-0.9640693664550781,-0.093841552734375,0.9686258435249329
scenario_2,SAC,5,-0.9639739990234375,-0.18939971923828125,0.9824042916297913
scenario_2,SAC,6,-0.9640693664550781,-0.2678871154785156,1.000596523284912
scenario_2,SAC,7,-0.9290695190429688,-0.3485679626464844,0.9923052787780762
scenario_2,SAC,8,-0.7561683654785156,-0.42133331298828125,0.8656283020973206
scenario_2,SAC,9,0.086212158203125,-0.4933357238769531,0.5008119940757751
scenario_2,SAC,10,0.7183074951171875,-0.42877197265625,0.8365470767021179
scenario_2,SAC,11,0.7526397705078125,-0.3808021545410156,0.8434908986091614
scenario_2,SAC,12,-0.9626388549804688,-0.580596923828125,1.124173641204834
scenario_2,SAC,13,-0.8457183837890625,-0.49571990966796875,0.9802947640419006
scenario_2,SAC,14,-0.3109931945800781,-0.17528533935546875,0.3569898009300232
scenario_2,SAC,15,-0.9370803833007812,-0.9131431579589844,1.3084150552749634
scenario_2,SAC,16,-0.6357192993164062,-0.8244514465332031,1.0410856008529663
scenario_2,SAC,17,0.3692626953125,-0.6292343139648438,0.7295826077461243
scenario_2,SAC,18,0.7800102233886719,-0.3857612609863281,0.870188295841217
scenario_2,SAC,19,0.830078125,-0.12559890747070312,0.8395265340805054
scenario_2,SAC,20,-0.9038925170898438,-0.8208274841308594,1.2209748029708862
scenario_2,SAC,21,-0.4168510437011719,-0.3780364990234375,0.5627400875091553
scenario_2,SAC,22,0.36830902099609375,0.13647079467773438,0.3927795886993408
scenario_2,SAC,23,0.7155418395996094,0.15544891357421875,0.7322325706481934
scenario_2,SAC,24,-0.9142398834228516,-0.8101463317871094,1.2215447425842285
scenario_2,SAC,25,-0.3716468811035156,-0.22430419921875,0.4340896010398865
scenario_2,SAC,26,0.34699440002441406,0.3830909729003906,0.5168789029121399
scenario_2,SAC,27,0.5733013153076172,0.5399703979492188,0.7875547409057617
scenario_2,SAC,28,0.2926349639892578,-0.9640693664550781,1.0075043439865112
scenario_2,SAC,29,0.6441593170166016,-0.8329391479492188,1.0529619455337524
scenario_2,SAC,30,0.6826877593994141,-0.3787994384765625,0.7807378768920898
scenario_2,SAC,31,0.7178783416748047,0.22325515747070312,0.7517926692962646
scenario_2,SAC,32,0.7475852966308594,0.5373954772949219,0.9206941723823547
scenario_2,SAC,33,0.4233360290527344,-0.9639739990234375,1.052833914756775
scenario_2,SAC,34,0.3040313720703125,-0.9160995483398438,0.9652323126792908
scenario_2,SAC,35,0.44159889221191406,-0.5541801452636719,0.7086079120635986
scenario_2,SAC,36,-0.9640216827392578,-0.0324249267578125,0.9645668268203735
scenario_2,SAC,37,-0.9271144866943359,0.36563873291015625,0.9966107606887817
