scenario,controller,step,ax,ay,acceleration_magnitude
scenario_1,RL-PID,1,0.9999990463256836,0.9999990463256836,1.4142122268676758
scenario_1,RL-PID,2,0.9999990463256836,0.9999990463256836,1.4142122268676758
scenario_1,RL-PID,3,0.9999990463256836,0.9999990463256836,1.4142122268676758
scenario_1,RL-PID,4,1.0000050067901611,1.0000050067901611,1.4142206907272339
scenario_1,RL-PID,5,0.9999990463256836,0.9999990463256836,1.4142122268676758
scenario_1,RL-PID,6,0.9999990463256836,0.5716025829315186,1.151836633682251
scenario_1,RL-PID,7,0.9999990463256836,0.13398528099060059,1.0089352130889893
scenario_1,RL-PID,8,0.49262046813964844,-0.18606781959533691,0.5265891551971436
scenario_1,RL-PID,9,-0.027322769165039062,-0.41024088859558105,0.4111497700214386
scenario_1,RL-PID,10,0.999993085861206,0.9999990463256836,1.4142080545425415
scenario_1,RL-PID,11,0.15778541564941406,0.9999990463256836,1.0123707056045532
scenario_1,RL-PID,12,-0.3548264503479004,0.5590975284576416,0.6621871590614319
scenario_1,RL-PID,13,-0.6156086921691895,0.0014066696166992188,0.6156103014945984
scenario_1,RL-PID,14,0.9999990463256836,0.9999990463256836,1.4142122268676758
scenario_1,RL-PID,15,0.9999990463256836,-0.2315998077392578,1.02646803855896
scenario_1,RL-PID,16,0.04093647003173828,-0.5879402160644531,0.5893636345863342
scenario_1,RL-PID,17,0.9999990463256836,1.0000109672546387,1.4142206907272339
scenario_1,RL-PID,18,0.7242679595947266,0.5705595016479492,0.9220098853111267
scenario_1,RL-PID,19,-0.4636526107788086,-0.05921125411987305,0.4674181342124939
scenario_1,RL-PID,20,-0.7942795753479004,-0.5000948905944824,0.9386026859283447
scenario_1,RL-PID,21,0.9999990463256836,0.9999990463256836,1.4142122268676758
scenario_1,RL-PID,22,0.21320581436157227,-0.9999990463256836,1.0224748849868774
scenario_1,RL-PID,23,-0.532984733581543,-0.9999990463256836,1.1331684589385986
scenario_1,RL-PID,24,1.0000228881835938,1.0000109672546387,1.4142374992370605
scenario_1,RL-PID,25,0.27544498443603516,-0.6868600845336914,0.7400315403938293
scenario_1,RL-PID,26,-0.9999990463256836,-0.59356689453125,1.1628928184509277
scenario_1,RL-PID,27,0.9999990463256836,-0.9999990463256836,1.4142122268676758
scenario_1,RL-PID,28,-0.9999990463256836,-0.9999990463256836,1.4142122268676758
scenario_1,RL-PID,29,-0.0141143798828125,-0.9999990463256836,1.0000985860824585
scenario_1,RL-PID,30,0.9999990463256836,-0.9999990463256836,1.4142122268676758
scenario_1,RL-PID,31,-0.9999990463256836,-0.9999990463256836,1.4142122268676758
scenario_1,RL-PID,32,-0.9108066558837891,-0.9999990463256836,1.3526147603988647
scenario_1,RL-PID,33,-0.17702579498291016,-0.9999990463256836,1.015547275543213
scenario_1,RL-PID,34,-0.5713701248168945,-0.9999990463256836,1.1517212390899658
scenario_1,RL-PID,35,-0.8158206939697266,-0.9999990463256836,1.290566325187683
scenario_1,RL-PID,36,0.9999990463256836,0.9999990463256836,1.4142122268676758
scenario_1,RL-PID,37,-0.1219034194946289,0.9999990463256836,1.0074018239974976
scenario_1,RL-PID,38,-0.8867025375366211,0.9999990463256836,1.3365026712417603
scenario_1,RL-PID,39,-0.9942293167114258,0.9999990463256836,1.4101383686065674
scenario_1,RL-PID,40,-0.9066104888916016,0.9999990463256836,1.3497928380966187
scenario_1,RL-PID,41,-0.9047508239746094,0.9999990463256836,1.3485444784164429
scenario_1,RL-PID,42,1.0000228881835938,0.9999990463256836,1.4142290353775024
scenario_1,RL-PID,43,-0.6166458129882812,0.9999990463256836,1.1748404502868652
scenario_1,RL-PID,44,-0.5910873413085938,0.9999990463256836,1.1616291999816895
scenario_1,RL-PID,45,-0.5120754241943359,1.0000228881835938,1.1235065460205078
scenario_1,RL-PID,46,-0.5095958709716797,0.9999990463256836,1.1223573684692383
scenario_1,RL-PID,47,-0.7413387298583984,0.24669170379638672,0.7813065648078918
scenario_1,RL-PID,48,0.9999752044677734,-0.554656982421875,1.1435011625289917
scenario_1,RL-PID,49,0.9427547454833984,-0.9999990463256836,1.3743306398391724
scenario_1,RL-PID,50,0.9999752044677734,0.9999990463256836,1.4141952991485596
scenario_1,RL-PID,51,1.0000228881835938,-0.9999990463256836,1.4142290353775024
scenario_1,RL-PID,52,0.42018890380859375,-0.9999990463256836,1.0846920013427734
scenario_1,RL-PID,53,-0.22172927856445312,-0.3239870071411133,0.3925957977771759
scenario_1,RL-PID,54,1.0000228881835938,0.9999990463256836,1.4142290353775024
scenario_1,RL-PID,55,-0.4844188690185547,-0.3500938415527344,0.5976849794387817
scenario_1,RL-PID,56,-0.41899681091308594,-0.28378963470458984,0.5060581564903259
scenario_1,RL-PID,57,-0.5702018737792969,-0.2665281295776367,0.6294183135032654
scenario_1,RL-PID,58,-1.0000228881835938,-0.16400814056396484,1.0133826732635498
scenario_1,RL-PID,59,0.25115013122558594,0.9999990463256836,1.031054973602295
scenario_1,RL-PID,60,-0.18181800842285156,0.9999752044677734,1.016370177268982
scenario_1,RL-PID,61,-0.5040168762207031,1.0000228881835938,1.119856595993042
scenario_1,RL-PID,62,0.9999752044677734,1.0000228881835938,1.4142122268676758
scenario_1,RL-PID,63,-0.3312110900878906,0.9999752044677734,1.0533998012542725
scenario_1,RL-PID,64,-0.29773712158203125,-0.6925106048583984,0.7538025975227356
scenario_1,RL-PID,65,-0.3097057342529297,-1.0000228881835938,1.0468827486038208
scenario_1,RL-PID,66,1.0000228881835938,1.0000228881835938,1.4142459630966187
