scenario,controller,step,ax,ay,acceleration_magnitude
scenario_1,PID,1,1.0,1.0,1.4142135623730951
scenario_1,PID,2,1.0,1.0,1.4142135623730951
scenario_1,PID,3,1.0,1.0,1.4142135623730951
scenario_1,PID,4,1.0,1.0,1.4142135623730951
scenario_1,PID,5,1.0,0.7198284245415288,1.2321334995762185
scenario_1,PID,6,1.0,0.4259187986863622,1.0869253990382384
scenario_1,PID,7,0.9215455608533603,0.1782622428876337,0.938628599589776
scenario_1,PID,8,0.36690310073243526,-0.02477524738794723,0.3677386275742725
scenario_1,PID,9,-0.049164529690881364,-0.18589246340586807,0.19228405792167888
scenario_1,PID,10,1.0,1.0,1.4142135623730951
scenario_1,PID,11,-0.2682078491995026,0.8394113525373623,0.8812189677604694
scenario_1,PID,12,-0.5369164921529379,0.4510761672632626,0.7012481930235048
scenario_1,PID,13,-0.7077257208054548,0.1273452407648734,0.719091444974187
scenario_1,PID,14,1.0,1.0,1.4142135623730951
scenario_1,PID,15,0.6491104277677326,-0.06600670462756586,0.6524578396284312
scenario_1,PID,16,0.10760150360168108,-0.31822568870776413,0.3359250995845255
scenario_1,PID,17,-0.28782138817377634,-0.509382517422019,0.5850740983375295
scenario_1,PID,18,1.0,1.0,1.4142135623730951
scenario_1,PID,19,-0.1386015570881991,0.28831361364503083,0.3198986268184492
scenario_1,PID,20,-0.49022819488758973,-0.05045654300306679,0.4928179641556961
scenario_1,PID,21,-0.7228841786762081,-0.3189891684660149,0.7901364599732223
scenario_1,PID,22,1.0,1.0,1.4142135623730951
scenario_1,PID,23,0.627762326132645,-0.7280790712405871,0.9613452408422405
scenario_1,PID,24,0.04491092843152078,-0.8578313099849413,0.8590061396073148
scenario_1,PID,25,-0.3776486735390123,-0.9344737283633897,1.0078986405522878
scenario_1,PID,26,1.0,1.0,1.4142135623730951
scenario_1,PID,27,0.113564745939287,-0.23834886645394215,0.26402108563547333
scenario_1,PID,28,-0.35983363531428525,-0.4353916202115593,0.5648416663578748
scenario_1,PID,29,1.0,-1.0,1.4142135623730951
scenario_1,PID,30,0.3458068167959123,-1.0,1.0581031870959097
scenario_1,PID,31,-0.2347391191072603,-1.0,1.027181801843886
scenario_1,PID,32,-0.6436043613840279,-1.0,1.1892125857022127
scenario_1,PID,33,1.0,-1.0,1.4142135623730951
scenario_1,PID,34,0.42648708243806244,-1.0,1.0871482104508707
scenario_1,PID,35,-0.2001829344423358,-1.0,1.019839794890327
scenario_1,PID,36,-0.6438192513334142,-1.0,1.1893288983235537
scenario_1,PID,37,-0.9362572049203552,-1.0,1.36988231383768
scenario_1,PID,38,-1.0,-0.8429762571894328,1.3079025079053503
scenario_1,PID,39,1.0,1.0,1.4142135623730951
scenario_1,PID,40,-0.4013205022623323,1.0,1.0775240811861657
scenario_1,PID,41,-0.8963160548778852,1.0,1.3429007670829056
scenario_1,PID,42,-1.0,1.0,1.4142135623730951
scenario_1,PID,43,-1.0,1.0,1.4142135623730951
scenario_1,PID,44,1.0,1.0,1.4142135623730951
scenario_1,PID,45,-1.0,1.0,1.4142135623730951
scenario_1,PID,46,-1.0,1.0,1.4142135623730951
scenario_1,PID,47,-1.0,1.0,1.4142135623730951
scenario_1,PID,48,-1.0,1.0,1.4142135623730951
scenario_1,PID,49,-1.0,1.0,1.4142135623730951
scenario_1,PID,50,-0.8474321511380775,0.531590256543806,1.0003646593291962
scenario_1,PID,51,-0.6922424890500595,0.1385284714766004,0.7059672804428438
scenario_1,PID,52,1.0,1.0,1.4142135623730951
scenario_1,PID,53,1.0,-0.5371223968274152,1.1351213455721936
scenario_1,PID,54,1.0,1.0,1.4142135623730951
scenario_1,PID,55,1.0,-0.29282741449327143,1.0419922718901586
scenario_1,PID,56,1.0,-0.5598810082404708,1.146065767479496
scenario_1,PID,57,1.0,-0.7553055131090383,1.2531904955484252
scenario_1,PID,58,0.49572744993701523,-0.8875074823674065,1.0165703300210902
scenario_1,PID,59,1.0,1.0,1.4142135623730951
scenario_1,PID,60,1.0,-0.8407402673121498,1.3064624744247746
scenario_1,PID,61,0.7012297719107292,-0.9329359253829875,1.1670872434759043
scenario_1,PID,62,0.0590109678137245,-0.9772724463955672,0.979052464787403
scenario_1,PID,63,-0.4069914914499062,-0.9820828867997791,1.0630751952038044
scenario_1,PID,64,-0.7746962240662869,1.0,1.264972031146366
scenario_1,PID,65,1.0,1.0,1.4142135623730951
scenario_1,PID,66,-0.2921410548724146,1.0,1.0417995949039178
scenario_1,PID,67,-0.6400478686977671,0.648997872926588,0.9115149550543807
scenario_1,PID,68,-0.8635671035588857,0.2305739464484784,0.8938190460769501
scenario_1,PID,69,1.0,1.0,1.4142135623730951
scenario_1,PID,70,-0.6115540499079013,0.7875598647616138,0.997120301940587
scenario_1,PID,71,-0.8225666368094968,0.2776604715721165,0.8681654274766629
scenario_1,PID,72,-0.9394508438893152,-0.13756712672602367,0.9494696427163959
scenario_1,PID,73,1.0,-1.0,1.4142135623730951
scenario_1,PID,74,0.5715688299973642,-0.677181280858755,0.8861520267821204
scenario_1,PID,75,0.03939477508680245,-0.842124680887046,0.843045625374599
scenario_1,PID,76,1.0,1.0,1.4142135623730951
scenario_1,PID,77,0.141617597588926,-0.09118362628370291,0.1684339563422559
scenario_1,PID,78,-0.3217816493090524,-0.37724944621221246,0.49584329631394125
scenario_1,PID,79,1.0,1.0,1.4142135623730951
scenario_1,PID,80,-0.14522884688905968,0.2256628136838228,0.26835633670257475
scenario_1,PID,81,-0.5517814070410836,-0.1513984969542559,0.572174995990078
scenario_1,PID,82,1.0,1.0,1.4142135623730951
scenario_1,PID,83,0.30052211894972425,-0.16430378105286314,0.34250441814128385
scenario_1,PID,84,-0.26237215565480554,-0.4838520810427709,0.5504107415306951
scenario_1,PID,85,-0.6573118804699067,-0.7235023731629584,0.9775042670900816
scenario_1,PID,86,1.0,1.0,1.4142135623730951
scenario_1,PID,87,0.40774458351725507,-0.9567974645485866,1.0400562646098834
scenario_1,PID,88,-0.20607220753437439,-1.0,1.0210121227086828
scenario_1,PID,89,1.0,1.0,1.4142135623730951
scenario_1,PID,90,-0.5383260234118667,-0.20622585563463058,0.5764755077318282
scenario_1,PID,91,-0.8998619610945755,-0.4747104082547122,1.017399390962237
scenario_1,PID,92,0.5642459444641519,1.0,1.1482044616897475
scenario_1,PID,93,-1.0,0.4176248872393873,1.0837022406739367
scenario_1,PID,94,-1.0,1.0,1.4142135623730951
scenario_1,PID,95,-1.0,1.0,1.4142135623730951
scenario_1,PID,96,-1.0,0.4427841277497113,1.0936442674778086
scenario_1,PID,97,-1.0,-0.06375507261137514,1.0020302935957983
scenario_1,PID,98,1.0,1.0,1.4142135623730951
scenario_1,PID,99,-1.0,0.16903101040448787,1.014185132250696
scenario_1,PID,100,-1.0,-0.3168170161313255,1.0489866642195012
scenario_1,PID,101,1.0,1.0,1.4142135623730951
scenario_1,PID,102,-0.6263770936044271,-0.08800939717527356,0.6325297758868623
scenario_1,PID,103,-0.7067256120797093,-0.5406124750521344,0.8897881427347941
scenario_1,PID,104,1.0,1.0,1.4142135623730951
scenario_1,PID,105,0.8302021502392534,-1.0,1.2997059706956338
scenario_1,PID,106,0.16738899209466318,1.0,1.0139127549619185
scenario_1,PID,107,-0.07798282510367294,-0.5289210149443586,0.5346389071709245
scenario_1,PID,108,-0.36326047784415105,-0.8902442247069322,0.9615055664881029
